NM_MUN,area_calc_km2
Cotia,324.0549171116514
Nova Campina,386.6198963241343
Aparecida,120.79503165079169
Ribeirão Pires,98.94271095808924
Quintana,321.1099638290758
Salmourão,174.38531257330033
Nova Aliança,218.52796020122594
Paranapuã,141.4342351871629
Itaporanga,510.19153576356115
Jundiaí,431.2675742392801
Osvaldo Cruz,250.11356475659196
Florínea,227.6189583723185
Buritizal,266.72914753732147
Bofete,654.8491973731481
Nova Castilho,184.65914343460994
Piratininga,403.9421906810656
Jacupiranga,705.2327714502238
Pindorama,185.43149653627785
Marabá Paulista,930.9111742081838
Cerquilho,127.95272062379912
Nova Canaã Paulista,125.55050651105499
Taiaçu,107.32926254016321
Alfredo Marcondes,120.1100216745108
Promissão,783.4949211039287
Capão Bonito,1643.4656153936762
Barrinha,146.28145312393156
Pontes Gestal,218.66459002283344
Quadra,205.99827384122776
Saltinho,99.85252975832925
Lucélia,317.56536456797767
Ribeirão Bonito,472.4365697477774
Guaíra,1261.3053712571525
Juquiá,813.6072418697627
Santo Anastácio,559.0541551500921
Santa Cruz do Rio Pardo,1119.9314979088424
São José da Bela Vista,277.24399932336576
São Paulo,1521.0507270423557
Aramina,203.10257690399462
Santo Antônio do Pinhal,132.91892942906125
Guarujá,144.73508321040077
Nova Luzitânia,74.30291409672022
Morungaba,146.75637960132715
Itariri,273.7633126595862
Tabatinga,369.59472582047295
Divinolândia,223.74112563050096
Palmares Paulista,82.38098987530053
Itaju,231.0457062473088
Avaí,542.9086813077586
Coronel Macedo,305.0397455567764
Jardinópolis,502.5402681423406
Ferraz de Vasconcelos,29.538026548569505
Bebedouro,684.8995304625973
Valinhos,148.5704482635457
Martinópolis,1265.44944973139
Dracena,492.9364082993503
Sagres,149.2248278024455
Iacri,324.3871607111395
Serra Azul,283.40679012836443
Álvares Machado,351.2682683231139
Motuca,229.12752596997407
Monte Castelo,236.06173396456646
Iaras,402.8257742286487
Irapuru,216.59468911371386
Mirassol,244.35766653288695
Urânia,210.90694910228183
Iguape,1980.2973339484104
Ribeirão Preto,651.7761881786535
Tietê,404.84143937855777
Rafard,121.75881506231931
Potirendaba,343.9850287086154
Borborema,554.2449404148463
Nova Europa,160.65641907203664
Itapuí,140.41513655361933
Piacatu,234.2729306231836
Paulicéia,378.4176589055367
Caconde,468.16490571890375
Pitangueiras,431.50937165394544
Maracaí,537.6883404487609
Pinhalzinho,154.50545864451158
Pracinha,63.62064401031781
Taiúva,132.76866564472112
São Sebastião da Grama,252.41287684985886
Arujá,96.13337132276985
Cravinhos,311.79847860020504
Aparecida d'Oeste,180.5572883006545
Barueri,65.7078535125322
Aspásia,69.93527768225402
Borebi,349.1598114930688
Cajamar,131.39942774487974
Marapoama,111.68630961512588
Ourinhos,297.39638786847934
Jaguariúna,141.42717641888302
Franca,606.1186539237801
Santo André,175.73531873915465
Santa Ernestina,134.71866552949243
Cajati,455.29838166353716
Cesário Lange,190.65505335124124
São Bernardo do Campo,409.4573567908965
Guarulhos,318.59393017408144
Severínia,140.88962024381667
Altair,314.1689746995188
Presidente Epitácio,1276.5191557922003
Capela do Alto,170.08108444066428
Ouroeste,290.70847734592377
Mogi Mirim,497.8249688335033
Nova Odessa,73.82891254801942
Pompéia,789.6265816719305
Murutinga do Sul,253.34850367184185
Itatiba,322.28706810951775
Inúbia Paulista,87.87095568838976
Avanhandava,340.3045109964855
Corumbataí,278.89875641411726
João Ramalho,418.7975265243281
Lucianópolis,190.4132020128491
Orlândia,292.1928610839392
Valparaíso,865.0350036990562
Guapiaçu,326.3993165515686
Guatapará,414.2114028519383
Juquitiba,522.3001582077034
Matão,526.1178547333174
Jaboticabal,708.0739902952668
Ibaté,291.4482894180529
Santa Rita d'Oeste,211.55720035146058
Santa Clara d'Oeste,185.05187319448356
Arandu,286.9037755692743
Catiguá,148.92628484034202
São Luiz do Paraitinga,616.8330212990927
Arapeí,156.79031407566532
Taquaritinga,595.8384216655712
Nova Granada,534.060403092666
Itapura,304.79172079956214
Embaúba,83.39184229756965
Conchas,466.8723739410436
Rio Claro,498.89284465733414
Chavantes,189.6727666149549
Bento de Abreu,304.2121487069093
Registro,723.0842990893157
Santa Albertina,274.905114089316
Piedade,747.4101687196352
Rubiácea,238.40842961287112
Águas de Santa Bárbara,406.0538240470757
São João das Duas Pontes,130.37279283025688
Macatuba,225.14760160896637
Cafelândia,924.594551348698
Guarani d'Oeste,86.29593132491122
Sarapuí,353.01418444665694
Piracicaba,1379.7600443758063
Monte Alto,347.8267214880244
Ipuã,467.26987205503195
Mira Estrela,218.19908663997836
São João de Iracema,179.634983548319
Sumaré,153.54710508961756
Apiaí,977.1588873525857
Ubirajara,283.563627540401
Casa Branca,864.5301909290392
Igaraçu do Tietê,97.9957892846481
Pradópolis,167.66842239550408
Fartura,431.0955369278715
Botucatu,1486.107618376416
Tejupá,297.3743229250707
Bananal,616.008507650489
Cajobi,177.4864868135753
Dois Córregos,634.3180564834358
Pereira Barreto,983.2686819077069
Pardinho,210.35610408116895
Leme,403.1275556920168
Garça,558.5810916300036
Altinópolis,929.6277513626914
São Caetano do Sul,15.328128549901246
São Simão,617.8409106451758
Areiópolis,86.13756246717665
Anhembi,737.9031892494138
Ribeirão Corrente,148.47751056209609
Olímpia,805.2940335581726
Nhandeara,438.80074646657505
Paraíso,155.64955002368086
Itu,641.0718243939056
Itapira,518.4275043185779
José Bonifácio,864.7704353213167
Osasco,64.95565020984756
Pirapozinho,482.8004177179962
Buri,1199.438626911769
Viradouro,218.19085909363878
Mineiros do Tietê,213.73061663019502
Jacareí,464.0192608733013
Boa Esperança do Sul,692.3849792224779
Icém,363.77869195099
Amparo,445.3425079762816
Cedral,198.6435148099218
Presidente Prudente,566.1647042235152
Itapirapuã Paulista,407.99340725044726
Cândido Mota,599.9115902157342
Taquarituba,450.2318820110871
Águas de São Pedro,3.617084252473742
Mombuca,133.82592690675017
Barra do Turvo,1009.8663698730708
Pongaí,184.1759393550132
Ipaussu,210.54309105435536
Lorena,413.8293874814844
Restinga,245.9637132246729
Guaiçara,278.6033185421022
Santa Rita do Passa Quatro,754.7945244066432
Santa Cruz da Conceição,150.2539446521161
São João do Pau d'Alho,118.97460752968904
Mairiporã,320.6428471182043
